VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
1953,CULLENTHEATER1,SECBB,G,12,150,A,0,7,12
1953,CULLENTHEATER1,SECBB,G,13,152,A,0,7,13
1953,CULLENTHEATER1,SECBB,G,14,154,A,1,7,14
1953,CULLENTHEATER1,SECBB,H,1,207,A,1,8,1
1953,CULLENTHEATER1,SECBB,H,2,205,A,0,8,2
1953,CULLENTHEATER1,SECBB,H,3,203,A,0,8,3
1953,CULLENTHEATER1,SECBB,H,4,201,A,0,8,4
1953,CULLENTHEATER1,SECBB,H,5,199,A,0,8,5
1953,CULLENTHEATER1,SECBB,H,6,197,A,0,8,6
1953,CULLENTHEATER1,SECBB,H,7,195,A,0,8,7
1953,CULLENTHEATER1,SECBB,H,8,196,A,0,8,8
1953,CULLENTHEATER1,SECBB,H,9,198,A,0,8,9
1953,CULLENTHEATER1,SECBB,H,10,200,A,0,8,10
1953,CULLENTHEATER1,SECBB,H,11,202,A,0,8,11
1953,CULLENTHEATER1,SECBB,H,12,204,A,0,8,12
1953,CULLENTHEATER1,SECBB,H,13,206,A,0,8,13
1953,CULLENTHEATER1,SECBB,H,14,208,A,1,8,14
1953,CULLENTHEATER1,SECBB,I,1,241,A,1,9,1
1953,CULLENTHEATER1,SECBB,I,2,239,A,0,9,2
1953,CULLENTHEATER1,SECBB,I,3,237,A,0,9,3
1953,CULLENTHEATER1,SECBB,I,4,235,A,0,9,4
1953,CULLENTHEATER1,SECBB,I,5,233,A,0,9,5
1953,CULLENTHEATER1,SECBB,I,6,231,A,0,9,6
1953,CULLENTHEATER1,SECBB,I,7,229,A,0,9,7
1953,CULLENTHEATER1,SECBB,I,8,230,A,0,9,8
1953,CULLENTHEATER1,SECBB,I,9,232,A,0,9,9
1953,CULLENTHEATER1,SECBB,I,10,234,A,0,9,10
1953,CULLENTHEATER1,SECBB,I,11,236,A,0,9,11
1953,CULLENTHEATER1,SECBB,I,12,238,A,0,9,12
1953,CULLENTHEATER1,SECBB,I,13,240,A,0,9,13
1953,CULLENTHEATER1,SECBB,I,14,242,A,1,9,14
1953,CULLENTHEATER1,SECBB,J,1,275,A,1,10,1
1953,CULLENTHEATER1,SECBB,J,2,273,A,0,10,2
1953,CULLENTHEATER1,SECBB,J,3,271,A,0,10,3
1953,CULLENTHEATER1,SECBB,J,4,269,A,0,10,4
1953,CULLENTHEATER1,SECBB,J,5,267,A,0,10,5
1953,CULLENTHEATER1,SECBB,J,6,265,A,0,10,6
1953,CULLENTHEATER1,SECBB,J,7,263,A,0,10,7
1953,CULLENTHEATER1,SECBB,J,8,264,A,0,10,8
1953,CULLENTHEATER1,SECBB,J,9,266,A,0,10,9
1953,CULLENTHEATER1,SECBB,J,10,268,A,0,10,10
1953,CULLENTHEATER1,SECBB,J,11,270,A,0,10,11
1953,CULLENTHEATER1,SECBB,J,12,272,A,0,10,12
1953,CULLENTHEATER1,SECBB,J,13,274,A,0,10,13
1953,CULLENTHEATER1,SECBB,J,14,276,A,1,10,14
1953,CULLENTHEATER1,SECBB,K,1,309,A,1,11,1
1953,CULLENTHEATER1,SECBB,K,2,307,A,0,11,2
