VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
3929,CKMConcertHall1,RSVFL,I,21,282,A,0,7,20,
3929,CKMConcertHall1,RSVFL,I,22,284,A,0,7,19,
3929,CKMConcertHall1,RSVFL,I,23,286,A,0,7,18,
3929,CKMConcertHall1,RSVFL,I,24,288,A,0,7,17,
3929,CKMConcertHall1,RSVFL,I,25,290,A,0,7,16,
3929,CKMConcertHall1,RSVFL,I,26,292,A,0,7,15,
3929,CKMConcertHall1,RSVFL,I,27,294,A,0,7,14,
3929,CKMConcertHall1,RSVFL,I,28,296,A,0,7,13,
3929,CKMConcertHall1,RSVFL,I,29,298,A,0,7,12,
3929,CKMConcertHall1,RSVFL,I,30,300,A,0,7,11,
3929,CKMConcertHall1,RSVFL,I,31,302,A,0,7,10,
3929,CKMConcertHall1,RSVFL,I,32,304,A,0,7,9,
3929,CKMConcertHall1,RSVFL,I,33,306,A,0,7,8,
3929,CKMConcertHall1,RSVFL,I,34,308,A,0,7,7,
3929,CKMConcertHall1,RSVFL,I,35,310,A,0,7,6,
3929,CKMConcertHall1,RSVFL,I,36,312,A,0,7,5,
3929,CKMConcertHall1,RSVFL,I,37,314,A,0,7,4,
3929,CKMConcertHall1,RSVFL,I,38,316,A,0,7,3,
3929,CKMConcertHall1,RSVFL,I,39,318,A,0,7,2,
3929,CKMConcertHall1,RSVFL,I,40,320,A,1,7,1,
3929,CKMConcertHall1,RSVFL,J,1,359,A,1,8,42,
3929,CKMConcertHall1,RSVFL,J,2,357,A,0,8,41,
3929,CKMConcertHall1,RSVFL,J,3,355,A,0,8,40,
3929,CKMConcertHall1,RSVFL,J,4,353,A,0,8,39,
3929,CKMConcertHall1,RSVFL,J,5,351,A,0,8,38,
3929,CKMConcertHall1,RSVFL,J,6,349,A,0,8,37,
3929,CKMConcertHall1,RSVFL,J,7,347,A,0,8,36,
3929,CKMConcertHall1,RSVFL,J,8,345,A,0,8,35,
3929,CKMConcertHall1,RSVFL,J,9,343,A,0,8,34,
3929,CKMConcertHall1,RSVFL,J,10,341,A,0,8,33,
3929,CKMConcertHall1,RSVFL,J,11,339,A,0,8,32,
3929,CKMConcertHall1,RSVFL,J,12,337,A,0,8,31,
3929,CKMConcertHall1,RSVFL,J,13,335,A,0,8,30,
3929,CKMConcertHall1,RSVFL,J,14,333,A,0,8,29,
3929,CKMConcertHall1,RSVFL,J,15,331,A,0,8,28,
3929,CKMConcertHall1,RSVFL,J,16,329,A,0,8,27,
3929,CKMConcertHall1,RSVFL,J,17,327,A,0,8,26,
