VenueCode,TemplateName,SectionCode,Row,Seat,Priority,StatusCode,Aisle,RowSort,SeatSort,Image
972,DANAAUDITORIUM1,LTCTR,W,127,593,A,1,22,1
972,DANAAUDITORIUM1,LTCTR,W,125,591,A,0,22,2
972,DANAAUDITORIUM1,LTCTR,W,123,589,A,0,22,3
972,DANAAUDITORIUM1,LTCTR,W,121,587,A,0,22,4
972,DANAAUDITORIUM1,LTCTR,W,119,585,A,0,22,5
972,DANAAUDITORIUM1,LTCTR,W,117,583,A,0,22,6
972,DANAAUDITORIUM1,LTCTR,W,115,581,A,0,22,7
972,DANAAUDITORIUM1,LTCTR,W,113,579,A,0,22,8
972,DANAAUDITORIUM1,LTCTR,W,111,577,A,0,22,9
972,DANAAUDITORIUM1,LTCTR,W,109,575,A,0,22,10
972,DANAAUDITORIUM1,LTCTR,W,107,573,A,0,22,11
972,DANAAUDITORIUM1,LTCTR,W,105,571,A,0,22,12
972,DANAAUDITORIUM1,LTCTR,W,103,569,A,0,22,13
972,DANAAUDITORIUM1,LTCTR,W,101,567,A,1,22,14
972,DANAAUDITORIUM1,LTCTR,X,127,621,A,1,23,1
972,DANAAUDITORIUM1,LTCTR,X,125,619,A,0,23,2
972,DANAAUDITORIUM1,LTCTR,X,123,617,A,0,23,3
972,DANAAUDITORIUM1,LTCTR,X,121,615,A,0,23,4
972,DANAAUDITORIUM1,LTCTR,X,119,613,A,0,23,5
972,DANAAUDITORIUM1,LTCTR,X,117,611,A,0,23,6
972,DANAAUDITORIUM1,LTCTR,X,115,609,A,0,23,7
972,DANAAUDITORIUM1,LTCTR,X,113,607,A,0,23,8
972,DANAAUDITORIUM1,LTCTR,X,111,605,A,0,23,9
972,DANAAUDITORIUM1,LTCTR,X,109,603,A,0,23,10
972,DANAAUDITORIUM1,LTCTR,X,107,601,A,0,23,11
972,DANAAUDITORIUM1,LTCTR,X,105,599,A,0,23,12
972,DANAAUDITORIUM1,LTCTR,X,103,597,A,0,23,13
972,DANAAUDITORIUM1,LTCTR,X,101,595,A,1,23,14
972,DANAAUDITORIUM1,LTCTR,Y,127,649,A,1,24,1
972,DANAAUDITORIUM1,LTCTR,Y,125,647,A,0,24,2
972,DANAAUDITORIUM1,LTCTR,Y,123,645,A,0,24,3
972,DANAAUDITORIUM1,LTCTR,Y,121,643,A,0,24,4
972,DANAAUDITORIUM1,LTCTR,Y,119,641,A,0,24,5
972,DANAAUDITORIUM1,LTCTR,Y,117,639,A,0,24,6
972,DANAAUDITORIUM1,LTCTR,Y,115,637,A,0,24,7
972,DANAAUDITORIUM1,LTCTR,Y,113,635,A,0,24,8
972,DANAAUDITORIUM1,LTCTR,Y,111,633,A,0,24,9
972,DANAAUDITORIUM1,LTCTR,Y,109,631,A,0,24,10
972,DANAAUDITORIUM1,LTCTR,Y,107,629,A,0,24,11
972,DANAAUDITORIUM1,LTCTR,Y,105,627,A,0,24,12
972,DANAAUDITORIUM1,LTCTR,Y,103,625,A,0,24,13
972,DANAAUDITORIUM1,LTCTR,Y,101,623,A,1,24,14
972,DANAAUDITORIUM1,LTCTR,Z,127,677,A,1,25,1
972,DANAAUDITORIUM1,LTCTR,Z,125,675,A,0,25,2
972,DANAAUDITORIUM1,LTCTR,Z,123,673,A,0,25,3
972,DANAAUDITORIUM1,LTCTR,Z,121,671,A,0,25,4
972,DANAAUDITORIUM1,LTCTR,Z,119,669,A,0,25,5
972,DANAAUDITORIUM1,LTCTR,Z,117,667,A,0,25,6
972,DANAAUDITORIUM1,LTCTR,Z,115,665,A,0,25,7
972,DANAAUDITORIUM1,LTCTR,Z,113,663,A,0,25,8
972,DANAAUDITORIUM1,LTCTR,Z,111,661,A,0,25,9
972,DANAAUDITORIUM1,LTCTR,Z,109,659,A,0,25,10
972,DANAAUDITORIUM1,LTCTR,Z,107,657,A,0,25,11
972,DANAAUDITORIUM1,LTCTR,Z,105,655,A,0,25,12
972,DANAAUDITORIUM1,LTCTR,Z,103,653,A,0,25,13
972,DANAAUDITORIUM1,LTCTR,Z,101,651,A,1,25,14
972,DANAAUDITORIUM1,LTSDF,AA,3,961,A,1,1,9
972,DANAAUDITORIUM1,LTSDF,AA,1,959,A,1,1,10
